Geography,Other Serious Crime,Financial Year,Count
MP,Shoplifting,2017/2018,3290
MP,Shoplifting,2018/2019,3189
MP,Shoplifting,2019/2020,3379
MP,Shoplifting,2020/2021,2698
NW,All Theft Not Mentioned Elsewhere,2011/2012,18411
NW,All Theft Not Mentioned Elsewhere,2012/2013,17417
NW,All Theft Not Mentioned Elsewhere,2013/2014,18042
NW,All Theft Not Mentioned Elsewhere,2014/2015,17943
NW,All Theft Not Mentioned Elsewhere,2015/2016,16751
NW,All Theft Not Mentioned Elsewhere,2016/2017,15677
NW,All Theft Not Mentioned Elsewhere,2017/2018,14268
NW,All Theft Not Mentioned Elsewhere,2018/2019,14610
NW,All Theft Not Mentioned Elsewhere,2019/2020,14579
NW,All Theft Not Mentioned Elsewhere,2020/2021,12619
NW,Commercial Crime,2011/2012,4339
NW,Commercial Crime,2012/2013,6766
NW,Commercial Crime,2013/2014,5658
NW,Commercial Crime,2014/2015,4016
NW,Commercial Crime,2015/2016,4212
NW,Commercial Crime,2016/2017,3914
NW,Commercial Crime,2017/2018,3744
NW,Commercial Crime,2018/2019,5155
NW,Commercial Crime,2019/2020,3768
NW,Commercial Crime,2020/2021,3792
NW,Shoplifting,2011/2012,2458
NW,Shoplifting,2012/2013,2265
NW,Shoplifting,2013/2014,2364
NW,Shoplifting,2014/2015,2270
NW,Shoplifting,2015/2016,2188
NW,Shoplifting,2016/2017,2176
NW,Shoplifting,2017/2018,2008
NW,Shoplifting,2018/2019,2075
NW,Shoplifting,2019/2020,2011
NW,Shoplifting,2020/2021,1834
NC,All Theft Not Mentioned Elsewhere,2011/2012,6662
NC,All Theft Not Mentioned Elsewhere,2012/2013,6951
NC,All Theft Not Mentioned Elsewhere,2013/2014,7016
NC,All Theft Not Mentioned Elsewhere,2014/2015,7437
NC,All Theft Not Mentioned Elsewhere,2015/2016,7316
NC,All Theft Not Mentioned Elsewhere,2016/2017,7104
NC,All Theft Not Mentioned Elsewhere,2017/2018,6871
NC,All Theft Not Mentioned Elsewhere,2018/2019,7492
NC,All Theft Not Mentioned Elsewhere,2019/2020,7804
NC,All Theft Not Mentioned Elsewhere,2020/2021,6457
NC,Commercial Crime,2011/2012,1118
NC,Commercial Crime,2012/2013,868
NC,Commercial Crime,2013/2014,1035
NC,Commercial Crime,2014/2015,997
NC,Commercial Crime,2015/2016,1037
NC,Commercial Crime,2016/2017,1108
NC,Commercial Crime,2017/2018,1097
NC,Commercial Crime,2018/2019,1088
NC,Commercial Crime,2019/2020,1188
NC,Commercial Crime,2020/2021,1186
NC,Shoplifting,2011/2012,1480
NC,Shoplifting,2012/2013,1316
NC,Shoplifting,2013/2014,1302
NC,Shoplifting,2014/2015,1360
NC,Shoplifting,2015/2016,1276
NC,Shoplifting,2016/2017,1407
NC,Shoplifting,2017/2018,1309
NC,Shoplifting,2018/2019,1344
NC,Shoplifting,2019/2020,1546
NC,Shoplifting,2020/2021,1134
WC,All Theft Not Mentioned Elsewhere,2011/2012,91747
WC,All Theft Not Mentioned Elsewhere,2012/2013,90605
WC,All Theft Not Mentioned Elsewhere,2013/2014,93978
WC,All Theft Not Mentioned Elsewhere,2014/2015,97396
WC,All Theft Not Mentioned Elsewhere,2015/2016,92032
WC,All Theft Not Mentioned Elsewhere,2016/2017,85957
WC,All Theft Not Mentioned Elsewhere,2017/2018,79975
WC,All Theft Not Mentioned Elsewhere,2018/2019,77465
WC,All Theft Not Mentioned Elsewhere,2019/2020,67827
WC,All Theft Not Mentioned Elsewhere,2020/2021,49928
WC,Commercial Crime,2011/2012,11805
WC,Commercial Crime,2012/2013,11791
WC,Commercial Crime,2013/2014,10821
WC,Commercial Crime,2014/2015,10408
WC,Commercial Crime,2015/2016,10986
WC,Commercial Crime,2016/2017,11725
WC,Commercial Crime,2017/2018,12109
